date,open,high,low,close,volume
2018-10-21 00:00:00,6586.7,6660.8,6581.2,6590.9,29304687.66
2018-10-22 00:00:00,6590.9,6627.9,6535.1,6567.3,39976390.53
2018-10-23 00:00:00,6567.3,6591.6,6525.3,6550.0,58150098.92
2018-10-24 00:00:00,6550.0,6626.3,6536.0,6554.1,56248255.79
2018-10-25 00:00:00,6554.1,6568.7,6462.9,6528.0,56951294.18
2018-10-26 00:00:00,6528.0,6597.4,6511.0,6531.5,48566430.72
2018-10-27 00:00:00,6531.5,6560.0,6476.9,6500.2,45388946.91
2018-10-28 00:00:00,6500.2,6513.88,6451.0,6490.1,44327184.62
2018-10-29 00:00:00,6490.1,6512.0,6320.8,6346.5,125198760.71
2018-10-30 00:00:00,6346.5,6383.6,6302.0,6330.1,68228331.12
2018-10-31 00:00:00,6330.1,6419.8,6242.1,6368.39,63103796.22
2018-11-01 00:00:00,6368.39,6443.9,6352.9,6406.1,58559193.75
2018-11-02 00:00:00,6406.1,6456.1,6389.9,6427.0,52435142.88
2018-11-03 00:00:00,6427.0,6432.4,6323.0,6389.1,72941495.74
2018-11-04 00:00:00,6389.1,6529.4,6357.9,6491.7,57994489.65
2018-11-05 00:00:00,6491.7,6500.6,6435.3,6470.2,31154083.0
2018-11-06 00:00:00,6470.2,6527.7,6447.4,6522.2,47915589.46
2018-11-07 00:00:00,6522.2,6615.0,6511.0,6572.9,70566536.11
2018-11-08 00:00:00,6572.9,6585.0,6460.0,6475.3,75669897.32
2018-11-09 00:00:00,6475.3,6504.4,6385.0,6418.7,67683873.09
2018-11-10 00:00:00,6418.7,6469.3,6414.4,6431.1,21031407.99
2018-11-11 00:00:00,6431.1,6459.9,6357.8,6447.9,47078299.92
2018-11-12 00:00:00,6447.9,6481.0,6418.8,6446.9,47163665.29
2018-11-13 00:00:00,6446.9,6501.1,6397.1,6459.07,65332208.83
2018-11-14 00:00:00,6459.07,6485.8,5678.0,5922.4,417150478.28
2018-11-15 00:00:00,5922.4,5940.0,5432.0,5749.6,281942127.83
2018-11-16 00:00:00,5749.6,5777.5,5530.92,5655.7,104666368.21
2018-11-17 00:00:00,5655.7,5661.1,5569.1,5628.3,44584273.75
2018-11-18 00:00:00,5628.3,5745.6,5620.9,5659.5,53930945.98
2018-11-19 00:00:00,5659.5,5659.5,4855.0,4920.7,387294753.82
2018-11-20 00:00:00,4920.7,5056.27,4303.5,4571.0,545927989.89
2018-11-21 00:00:00,4571.0,4787.3,4412.3,4662.7,203826727.05
2018-11-22 00:00:00,4662.7,4723.7,4342.1,4369.6,130579599.46
2018-11-23 00:00:00,4369.6,4495.0,4210.0,4422.7,157466977.66
2018-11-24 00:00:00,4422.7,4529.0,3819.4,3929.9,211732113.57
2018-11-25 00:00:00,3929.9,4233.2,3657.6,4089.1,321001983.62
2018-11-26 00:00:00,4089.1,4207.1,3695.5,3864.1,249616173.56
2018-11-27 00:00:00,3864.1,3959.41,3684.1,3882.7,176640255.63
2018-11-28 00:00:00,3882.7,4447.6,3882.7,4305.0,274474031.15
2018-11-29 00:00:00,4305.0,4488.0,4167.2,4321.9,177210733.13
2018-11-30 00:00:00,4321.9,4368.8,3950.0,4039.5,175006992.02
2018-12-01 00:00:00,4039.5,4340.0,3964.5,4241.3,114784731.92
2018-12-02 00:00:00,4241.3,4369.8,4113.0,4173.0,102941696.07
2018-12-03 00:00:00,4173.0,4189.8,3830.1,3901.2,146870203.29
2018-12-04 00:00:00,3901.2,4135.9,3785.5,3981.9,133977730.72
2018-12-05 00:00:00,3981.9,4000.77,3750.0,3772.9,109684430.8
2018-12-06 00:00:00,3772.9,3922.7,3503.0,3531.0,218131793.82
2018-12-07 00:00:00,3531.0,3630.0,3277.6,3460.0,254063711.27
2018-12-08 00:00:00,3460.0,3800.1,3316.1,3506.0,135760289.62
2018-12-09 00:00:00,3506.0,3789.0,3465.4,3642.3,90374332.83
2018-12-10 00:00:00,3642.3,3709.7,3475.8,3524.8,80447395.98
2018-12-11 00:00:00,3524.8,3551.5,3381.8,3435.28,83009693.7
2018-12-12 00:00:00,3435.28,3617.4,3415.0,3535.6,74265794.63
2018-12-13 00:00:00,3535.6,3547.1,3317.0,3354.3,76222373.04
2018-12-14 00:00:00,3354.3,3395.2,3224.0,3281.7,94808360.96
2018-12-15 00:00:00,3281.7,3324.2,3215.2,3283.4,57480339.2
2018-12-16 00:00:00,3283.4,3383.0,3276.2,3301.5,63634999.01
2018-12-17 00:00:00,3301.5,3744.8,3280.0,3625.0,125040125.64
2018-12-18 00:00:00,3625.0,3799.9,3546.9,3780.8,107464739.54
2018-12-19 00:00:00,3780.8,4043.0,3756.0,3810.0,214861452.59
2018-12-20 00:00:00,3810.0,4299.0,3780.1,4214.5,269934530.53
2018-12-21 00:00:00,4214.5,4300.0,3902.0,3976.0,178129634.02
2018-12-22 00:00:00,3976.0,4166.0,3919.3,4135.0,78429538.48
2018-12-23 00:00:00,4135.0,4216.0,4033.0,4071.7,100981992.7
2018-12-24 00:00:00,4071.7,4384.0,4069.0,4140.7,161585583.6
2018-12-25 00:00:00,4140.7,4155.0,3812.1,3909.7,131834092.88
2018-12-26 00:00:00,3909.7,3990.0,3812.1,3929.9,74545136.03
2018-12-27 00:00:00,3929.9,3968.8,3686.0,3712.0,89482454.21
2018-12-28 00:00:00,3712.0,4095.0,3696.3,4036.7,105153716.07
2018-12-29 00:00:00,4036.7,4099.7,3859.3,3894.0,74977695.92
2018-12-30 00:00:00,3894.0,4003.8,3838.9,3977.3,69568435.08
2018-12-31 00:00:00,3977.3,3986.9,3771.0,3830.5,61367948.79
2019-01-01 00:00:00,3830.5,3987.0,3788.1,3963.1,53579422.07
2019-01-02 00:00:00,3963.1,4083.47,3917.9,4048.8,77342236.3
2019-01-03 00:00:00,4048.8,4056.64,3875.1,3924.3,41795853.68
2019-01-04 00:00:00,3924.3,3986.0,3850.1,3954.9,51836678.43
2019-01-05 00:00:00,3954.9,4014.9,3901.0,3911.9,58984576.33
2019-01-06 00:00:00,3911.9,4218.0,3887.5,4168.4,102409753.45
2019-01-07 00:00:00,4168.4,4197.0,4075.0,4113.9,34605706.31
2019-01-08 00:00:00,4113.9,4215.8,4056.0,4100.0,77758500.71
2019-01-09 00:00:00,4100.0,4168.9,4010.0,4083.3,84802006.26
2019-01-10 00:00:00,4083.3,4143.3,3687.2,3712.8,136113608.59
2019-01-11 00:00:00,3712.8,3777.8,3666.6,3714.8,48926265.66
2019-01-12 00:00:00,3714.8,3734.0,3666.6,3702.0,34432312.84
2019-01-13 00:00:00,3702.0,3729.0,3570.0,3591.0,45920696.62
2019-01-14 00:00:00,3591.0,3799.4,3580.0,3749.3,55104849.5
2019-01-15 00:00:00,3749.3,3780.87,3623.1,3654.3,49776698.07
2019-01-16 00:00:00,3654.3,3759.89,3642.36,3673.6,48920538.47
2019-01-17 00:00:00,3673.6,3725.0,3606.2,3722.5,40043474.48
2019-01-18 00:00:00,3722.5,3723.9,3652.39,3675.7,21039738.82
2019-01-19 00:00:00,3675.7,3882.0,3673.9,3762.3,50709931.14
2019-01-20 00:00:00,3762.3,3796.9,3543.0,3586.1,75063374.71
2019-01-21 00:00:00,3586.1,3620.1,3548.3,3579.4,38848377.64
2019-01-22 00:00:00,3579.4,3682.14,3462.0,3639.1,65094295.56
2019-01-23 00:00:00,3639.1,3677.0,3591.2,3622.3,29044038.95
2019-01-24 00:00:00,3622.3,3671.4,3589.45,3652.71,28549103.38
2019-01-25 00:00:00,3652.71,3663.5,3580.0,3628.9,26763119.17
2019-01-26 00:00:00,3628.9,3750.0,3622.9,3631.2,47786631.06
2019-01-27 00:00:00,3631.2,3645.7,3541.0,3597.1,41257349.1
